UltimateParentAccountID,Quarter,Product,ARR,QuotaRelief
0012J00002Jb6X4QAJ,2021 Q1,CX,888250106.1,NA
0012J00002Jb6X4QAJ,2021 Q2,CX,888252690.7,NA
0012J00002Jb6X4QAJ,2020 Q4,CX,28652531.23,1123076635
0012J00002JbHd3QAF,2019 Q1,CX,4917998718,NA
0012J00002JbHd3QAF,2020 Q1,CX,7188815500,165986627.7
0012J00002JbHd3QAF,2021 Q1,CX,5297696147,445194225.2
0012J00002JbHd3QAF,2018 Q2,CX,4764066585,4389990696
0012J00002JbHd3QAF,2019 Q2,CX,6975958568,2263717371
0012J00002JbHd3QAF,2020 Q2,CX,4987474584,0
0012J00002JbHd3QAF,2021 Q2,CX,5340822564,333895707.2
0012J00002JbHd3QAF,2018 Q3,CX,4764066585,97631085
0012J00002JbHd3QAF,2019 Q3,CX,6975958568,128572405
0012J00002JbHd3QAF,2020 Q3,CX,4987474584,NA
0012J00002JbHd3QAF,2018 Q4,CX,4917998718,NA
0012J00002JbHd3QAF,2019 Q4,CX,7181727199,NA
0012J00002JbHd3QAF,2020 Q4,CX,4987473442,NA
0012J00002JbnjJQAR,2019 Q1,RC,27078355.03,287176591.2
0012J00002JbnjJQAR,2020 Q1,RC,478933641,14036210.51
0012J00002JbnjJQAR,2021 Q1,RC,2119865367,144051411.5
0012J00002JbnjJQAR,2019 Q2,RC,279807805.3,NA
0012J00002JbnjJQAR,2020 Q2,RC,284313231.1,NA
0012J00002JbnjJQAR,2021 Q2,RC,569969891.4,0
0012J00002JbnjJQAR,2019 Q3,RC,279807805.3,NA
0012J00002JbnjJQAR,2020 Q3,RC,284313231.1,NA
0012J00002JbnjJQAR,2019 Q4,RC,499787418.5,44007805.01
0012J00002JbnjJQAR,2020 Q4,RC,531927300,112611139.2
0012J00002Jc9BeQAJ,2017 Q1,EX,149058076.9,NA
0012J00002Jc9BeQAJ,2017 Q1,RC,56280856.17,NA
0012J00002Jc9BeQAJ,2018 Q1,EX,339928293,NA
0012J00002Jc9BeQAJ,2018 Q1,RC,212241506.3,NA
0012J00002Jc9BeQAJ,2019 Q1,RC,222856827.4,NA
0012J00002Jc9BeQAJ,2019 Q1,CX,715316122.1,NA
0012J00002Jc9BeQAJ,2019 Q1,EX,241205987.7,NA
0012J00002Jc9BeQAJ,2020 Q1,RC,54982566.53,NA
0012J00002Jc9BeQAJ,2020 Q1,CX,759824015.6,NA
0012J00002Jc9BeQAJ,2020 Q1,EX,546004726.7,NA
0012J00002Jc9BeQAJ,2021 Q1,RC,45945028.04,NA
0012J00002Jc9BeQAJ,2021 Q1,CX,800000670.6,NA
0012J00002Jc9BeQAJ,2021 Q1,EX,547499563,NA
0012J00002Jc9BeQAJ,2017 Q2,EX,229720812.6,NA
0012J00002Jc9BeQAJ,2017 Q2,RC,209427764,153146800
0012J00002Jc9BeQAJ,2018 Q2,RC,160801587.6,7657340
0012J00002Jc9BeQAJ,2018 Q2,EX,228498496.9,NA
0012J00002Jc9BeQAJ,2018 Q2,RC,59095980.89,7657340
0012J00002Jc9BeQAJ,2019 Q2,RC,62051152.59,NA
0012J00002Jc9BeQAJ,2019 Q2,CX,759823835.3,42565927.89
0012J00002Jc9BeQAJ,2019 Q2,EX,241206107.9,NA
0012J00002Jc9BeQAJ,2020 Q2,RC,54979981.97,NA
0012J00002Jc9BeQAJ,2020 Q2,CX,800001872.7,38095419.65
0012J00002Jc9BeQAJ,2020 Q2,EX,546002442.7,NA
0012J00002Jc9BeQAJ,2021 Q2,RC,186954670.8,215919223
0012J00002Jc9BeQAJ,2021 Q2,CX,840002898,40000106.4
0012J00002Jc9BeQAJ,2021 Q2,EX,547500524.7,NA
0012J00002Jc9BeQAJ,2017 Q3,EX,229720812.6,NA
0012J00002Jc9BeQAJ,2017 Q3,RC,209427764,2814225.597
0012J00002Jc9BeQAJ,2018 Q3,RC,160801587.6,2954814.359
0012J00002Jc9BeQAJ,2018 Q3,CX,715315521,558535109
0012J00002Jc9BeQAJ,2018 Q3,EX,228498496.9,11486010
0012J00002Jc9BeQAJ,2018 Q3,RC,59095980.89,2954814.359
0012J00002Jc9BeQAJ,2019 Q3,RC,62051152.59,NA
0012J00002Jc9BeQAJ,2019 Q3,CX,759823835.3,NA
0012J00002Jc9BeQAJ,2019 Q3,EX,787208550.6,306293600
0012J00002Jc9BeQAJ,2020 Q3,RC,45943044.55,0
0012J00002Jc9BeQAJ,2020 Q3,CX,800001872.7,NA
0012J00002Jc9BeQAJ,2020 Q3,EX,547500524.7,0
0012J00002Jc9BeQAJ,2017 Q4,EX,229719730.7,NA
0012J00002Jc9BeQAJ,2017 Q4,RC,212241506.3,NA
0012J00002Jc9BeQAJ,2018 Q4,RC,222856827.4,NA
0012J00002Jc9BeQAJ,2018 Q4,CX,715316122.1,NA
0012J00002Jc9BeQAJ,2018 Q4,EX,241205987.7,NA
0012J00002Jc9BeQAJ,2019 Q4,RC,54982566.53,NA
0012J00002Jc9BeQAJ,2019 Q4,CX,759824015.6,NA
0012J00002Jc9BeQAJ,2019 Q4,EX,546004726.7,NA
0012J00002Jc9BeQAJ,2020 Q4,RC,45945028.04,NA
0012J00002Jc9BeQAJ,2020 Q4,CX,800000670.6,NA
