UltimateParentAccountID,Revenue,Employees,GlobalRegion,Industry,NAICSCode,NAICSCodeDescription,FirstPurchase,HoldingCompany
0012J00002Jb6X4QAJ,1,3,EMEA,Telecommunications,517311,NA,11/6/2020,FALSE
0012J00002JbHd3QAF,4,6,APAC,Professional & Business Services,561499,All Other Business Support Services ,5/23/2018,FALSE
0012J00002JbnjJQAR,1,1,EMEA,Consumer Products,424210,Drugs and Druggists' Sundries Merchant Wholesalers ,1/4/2019,FALSE
0012J00002Jc9BeQAJ,5,6,APAC,Insurance,524210,Insurance Agencies and Brokerages ,10/11/2010,FALSE
0012J00002KgQlGQAV,2,6,North America,Retail,316998,All Other Leather Good and Allied Product Manufacturing ,6/30/2020,FALSE
0012J00002KuRajQAF,2,5,North America,Media,517110,Wired Telecommunications Carriers ,1/31/2012,FALSE
0012J00002Lb7kvQAB,5,7,North America,Healthcare,813212,Voluntary Health Organizations ,1/27/2014,FALSE
0012J00002Lb7kwQAB,3,6,North America,Healthcare,622110,General Medical and Surgical Hospitals ,5/25/2011,FALSE
0012J00002Lb97sQAB,2,5,North America,Consumer Products,315210,Cut and Sew Apparel Contractors ,5/21/2019,FALSE
0012J00002LbQZ3QAN,4,6,North America,Healthcare,622110,General Medical and Surgical Hospitals ,6/7/2011,FALSE
0012J00002LbQZDQA3,2,6,North America,Healthcare,622110,General Medical and Surgical Hospitals ,2/4/2014,FALSE
0012J00002LbQZmQAN,1,4,North America,Healthcare,621991,Blood and Organ Banks ,9/7/2010,FALSE
0012J00002LbTrGQAV,2,5,North America,Healthcare,621999,All Other Miscellaneous Ambulatory Health Care Services ,5/25/2021,FALSE
0012J00002M7uk4QAB,3,3,North America,Manufacturing,335911,Storage Battery Manufacturing ,3/13/2019,FALSE
0012J00002M94zzQAB,1,4,North America,Banking,531120,Lessors of Nonresidential Buildings (except Miniwarehouses) ,6/27/2017,FALSE
0012J00002M9GJ3QAN,4,6,APAC,Manufacturing,333111,Farm Machinery and Equipment Manufacturing ,11/20/2019,FALSE
0012J00002MA20NQAT,2,4,APAC,Consumer Products,315220,Men<92>s and Boys<92> Cut and Sew Apparel Manufacturing ,6/3/2021,FALSE
0012J00002NFmF6QAL,1,3,APAC,Wholesale,424490,Other Grocery and Related Products Merchant Wholesalers ,12/19/2019,FALSE
0012J00002NGdo3QAD,2,4,APAC,Professional & Business Services,1731971,NA,2/8/2017,FALSE
0012J00002NGfSEQA1,1,5,EMEA,Professional & Business Services,551112,Offices of Other Holding Companies ,11/12/2013,FALSE
0012J00002NGP3SQAX,2,4,EMEA,Banking,522293,International Trade Financing ,3/8/2018,FALSE
0012J00002NGVxfQAH,2,6,APAC,Government,921190,Other General Government Support ,2/1/2011,FALSE
0012J00002NHfF2QAL,2,5,North America,Consumer Products,311615,Poultry Processing ,12/31/2019,FALSE
0012J00002NHkMmQAL,2,5,North America,Life Sciences,339114,Dental Equipment and Supplies Manufacturing ,6/28/2019,FALSE
0012J00002NHvozQAD,1,2,APAC,Wholesale,424210,Drugs and Druggists' Sundries Merchant Wholesalers ,3/16/2020,FALSE
0012J00002NIuSsQAL,4,7,North America,Education,611310,"Colleges, Universities, and Professional Schools ",11/13/2009,FALSE
0012J00002NIuSxQAL,1,4,North America,Education,611310,"Colleges, Universities, and Professional Schools ",3/7/2008,FALSE
0012J00002OVacvQAD,3,6,EMEA,Professional & Business Services,551112,Offices of Other Holding Companies ,12/31/2020,FALSE
0012J00002OVaEaQAL,3,5,Latin America,Retail,444110,Home Centers ,12/3/2014,FALSE
0012J00002OVNeyQAH,6,8,APAC,Professional & Business Services,551112,Offices of Other Holding Companies ,6/9/2017,FALSE
0012J00002OVNgIQAX,1,4,APAC,Education,611310,"Colleges, Universities, and Professional Schools ",1/22/2010,FALSE
0012J00002OVNhiQAH,1,4,APAC,Education,611310,"Colleges, Universities, and Professional Schools ",4/26/2016,FALSE
0012J00002OVNi9QAH,3,5,APAC,Wholesale,424720,Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals) ,5/6/2016,FALSE
0012J00002OVW5EQAX,6,7,APAC,Automotive,811192,Car Washes ,1/25/2011,FALSE
0012J00002OW3CZQA1,4,6,Latin America,Professional & Business Services,541512,Computer Systems Design Services ,3/30/2016,FALSE
0012J00002OW3D2QAL,3,6,Latin America,Banking,522110,Commercial Banking ,4/29/2016,FALSE
