YEAR(CreationDateTimeID),AccountID,UltimateParentAccountID,TicketType,NumTickets,AVG(CSAT),NumTicketsWithCSAT,AvgTicketLength,AVG(FirstEmailTaskDuration),AVG(NumberOfEmails)
2020,0012J00002JapxJQAR,0015000000tGBDbAAO,SE,1,NULL,0,18755,1525,7
2020,0012J00002Jb7uYQAR,0012J00002PLckTQAT,SE,1,NULL,0,424919,17368,7
2020,0012J00002JbGbnQAF,0015000000wNkd0AAC,SE,1,NULL,0,13152,NULL,3
2020,0012J00002JbGbnQAF,0015000000wNkd0AAC,SP,2,NULL,0,1209191.5,NULL,NULL
2020,0012J00002JbisQQAR,00150000010MUDEAA4,SE,3,NULL,0,41431.3333,3614.5,3.3333
2020,0012J00002JbisQQAR,00150000010MUDEAA4,SP,1,NULL,0,848,NULL,NULL
2020,0012J00002JbJNZQA3,0015000000qFtKiAAK,SE,2,NULL,0,30362.5,15143.5,3.5
2020,0012J00002JbJNZQA3,0015000000qFtKiAAK,SP,1,NULL,0,643,NULL,NULL
2020,0012J00002JbnjJQAR,0012J00002JbnjJQAR,SE,6,NULL,0,445245.8333,12653.75,5.6667
2020,0012J00002JbnjJQAR,0012J00002JbnjJQAR,SP,9,4,1,599.2222,NULL,NULL
2020,0012J00002Jbqn2QAB,0015000000UA8guAAD,SE,1,NULL,0,19859,NULL,2
2020,0012J00002Jbr2hQAB,0015000000q7fLMAAY,SE,1,NULL,0,328365,581,9
2020,0012J00002JbWgiQAF,0015000000r77SlAAI,CS,2,NULL,0,4182,NULL,NULL
2020,0012J00002JbWgiQAF,0015000000r77SlAAI,SE,1,NULL,0,108976,NULL,4
2020,0012J00002JbXLBQA3,0015000000tG9ukAAC,CS,3,4.5,2,18153.3333,NULL,NULL
2020,0012J00002JbXLBQA3,0015000000tG9ukAAC,SE,6,5,2,1956484.333,4752,7.6667
2020,0012J00002JbXLBQA3,0015000000tG9ukAAC,SP,22,5,4,13677.9091,NULL,NULL
2020,0012J00002Jc2RfQAJ,0015000000wLGDIAA4,CS,1,NULL,0,3960,NULL,NULL
2020,0012J00002Jc2RfQAJ,0015000000wLGDIAA4,SE,1,NULL,0,1127923,NULL,6
2020,0012J00002Jc2RfQAJ,0015000000wLGDIAA4,SP,3,5,2,1573.3333,NULL,NULL
2020,0012J00002Jc7gyQAB,00150000010MDUEAA4,CS,5,4,1,22564,NULL,NULL
2020,0012J00002Jc7gyQAB,00150000010MDUEAA4,SE,2,NULL,0,361463.5,5524,4
2020,0012J00002Jc7gyQAB,00150000010MDUEAA4,SP,1,NULL,0,2390,NULL,NULL
2020,0012J00002Jc7TkQAJ,0015000000too10AAA,CS,5,NULL,0,5365.4,NULL,NULL
2020,0012J00002Jc7TkQAJ,0015000000too10AAA,SE,13,4.5,2,326815.6154,7933.3333,5.1538
2020,0012J00002Jc7TkQAJ,0015000000too10AAA,SP,2,5,1,1150.5,NULL,NULL
2020,0012J00002JelY8QAJ,0015000000wLGDIAA4,CS,1,NULL,0,63081,NULL,NULL
2020,0012J00002JelY8QAJ,0015000000wLGDIAA4,SE,12,5,2,600916.1667,NULL,5.9167
2020,0012J00002JelY8QAJ,0015000000wLGDIAA4,SP,20,4.8,5,7382.2,NULL,NULL
2020,0012J00002JeWp5QAF,00150000010MC1YAAW,SE,13,NULL,0,2132325.231,12563.8,9.3846
2020,0012J00002JeWp5QAF,00150000010MC1YAAW,SP,1,NULL,0,19213,NULL,NULL
2020,0012J00002Jx6hRQAR,0015000000nDrcQAAS,SP,1,NULL,0,1187,NULL,NULL
2020,0012J00002KgGunQAF,0015000000q7fLMAAY,SE,2,NULL,0,767164,7187.5,9
2020,0012J00002KgGunQAF,0015000000q7fLMAAY,SP,1,NULL,0,384,NULL,NULL
2020,0012J00002KgPQ2QAN,0015000000wLGDIAA4,SE,1,5,1,4877,1136,4
2020,0012J00002KgQkNQAV,0015000000wNmCHAA0,SE,4,NULL,0,156973.75,26840.75,4
2020,0012J00002KgQlGQAV,0012J00002KgQlGQAV,CS,2,NULL,0,6203,NULL,NULL
2020,0012J00002KgQlGQAV,0012J00002KgQlGQAV,SE,21,NULL,0,476920.9524,7105.125,6.4286
2020,0012J00002KgQlGQAV,0012J00002KgQlGQAV,SP,16,5,1,876755.8125,NULL,NULL
2020,0012J00002Kso4eQAB,0015000000q6qu7AAA,SE,3,NULL,0,35625.3333,7238,3.6667
2020,0012J00002Kso4eQAB,0015000000q6qu7AAA,SP,7,NULL,0,17177.4286,NULL,NULL
2020,0012J00002Ksp9GQAR,00150000010MM3RAAW,SE,3,4,1,308068,3301.6667,5
2020,0012J00002Ksp9GQAR,00150000010MM3RAAW,SP,1,NULL,0,647,NULL,NULL
